labels,features
negative, let scanned in passengers leave the plane than told someone to remove their bag from st class bin uncomfortable
negative, what is your phone number can find who to call about flight reservation 
negative, is anyone doing anything there today website is useless and no one is answering the phone 
neutral, trying to add my boy prince to my ressie sf this thursday from lax c gm
negative, why must traveler miss flight to late flight check bag missed my morning appointments and you lost my business sfo lax
neutral, check out new music 
negative, how a direct flight fll gt sfo have unexpected layover in vegas fuel yet peeps next to me bought for vegas flight sneaky
negative, your no late flight bag check just lost you my business missed flight and am apt three other people on flight had same exp 
positive, amazing customer service again raeann in sf she the best customerservice virginamerica flying
negative, called your service line and was hung up on this is awesome sarcasm
negative, your site is tripping m trying to check in and m getting the plain text version am reluctant to enter any card info 
neutral, was scheduled for sfo dal flight today changed to th due weather looks like flight still on 
positive, has getaway deals through may from one way lots of cool cities cheapflights farecompare
neutral, has getaway deals through may from one way lots of cool cities wnd cheapflights farecompare
positive, has getaway deals through may from one way lots of cool cities xi yg cheapflights farecompare
neutral, has getaway deals through may from one way lots of cool cities cheapflights farecompare
positive, have great week 
positive, come back to phl already we need you to take us out of this horrible cold pleasecomeback nqh
negative, should be concerned that am about to fly on plane that needs to be delayed due to tech stop 
positive, is the best airline have flown on easy to change your reservation helpful representatives amp comfortable flying experience
positive, and again another rep kicked butt naelah represents your team so beautifully thank you 
positive, your beautiful front end design is down right now but it was cool to still book my ticket c all your back end was secure 
positive, love the team running gate at las tonight waited for delayed flight and they kept things entertaining
negative, use another browser amp brand with reputation built on tech response doesn have cross browser compatible website 
negative, and now the flight flight booking problems site is totally down folks what is the problem 
negative, like the customer service but min delay just for connecting passengers seems too long va 
positive, thanks to your outstanding nyc jfk crew who moved mountains to get me home to san francisco tonight 
positive, you have the absolute best team and customer service ever every time fly with you m delighted thank you 
neutral, do you provide complimentary upgrades to first class if there are available seats 
negative, need to change my flight thats scheduled in hours and min wait time on phone im calling intern help 
positive, completely awesome experience last month bos las nonstop thanks for such an awesome flight and depart time vabeatsjblue
neutral, how can watch the oscars on my jfk gt sfo flight 
neutral, is flight cancelled flightled and what do do if it is 
negative, you are failing your customers because your check in process does not link to tsa pre check 
negative, us too terrible airline just gave us hotel hotline number and said sorry
neutral, has flight number from sfo to cabo san lucas arrived yet 
negative, your assistance yesterday when cancelled flightled our flight was to give us hotel hotline shame on you 
negative, another delayed flight likingyoulessandless
negative, need to register service dog for first class ticket from sfo gt dulles the phone queue is an hour or longer pls advise
positive, you rock for making it so can watch oscars on my flight redcarpet oscars oscars 
neutral, dropped track on you pt trk 
positive, always xoxo
negative, why can we book seats on your flights when we buy them or even during check in creates so much anxiety frustrated
negative, you think paying an extra bucks rt for luggage might afford you hiring an extra hand at lame
positive, best customer service rep in the world irmafromdallas takes the cake 
neutral, can you find us flt out of lax that is sooner than midnight on monday that would be great customer service 
negative, please provide status for flight cant imagine it on time as the web indicates dude to weather here and or dallas
positive, you have amazing staff amp super helpful as just ran the princesshalf they have spoiled me with comfort 
negative, paid the premium to fly you across the country you cancelled flight my flight and offer no check fee or upgrade love sad face 
negative, question is it not possible to book seat for an infant under it not giving me the option but we want seat for him 
positive,always have it together you re welcome rt you re so welcome 
positive, flight home to dc sunset globe in backtowinter back to work refreshed vbctdlf
negative, don understand why you need dm to give me an answer on if you have damaged luggage policy 
negative, does that mean you don have policy for destroyed luggage 
neutral, is there special assistance if travel alone kids and infant priority boarding 
positive, thank you for checking in tickets are purchased and customer is happy 
neutral, is your website ever coming back online 
neutral, is flight from love field to sfo definitely cancelled flightled for monday february 
neutral, is flight out of lga to dfw on time 
neutral, my drivers license is expired by little over month can fly friday morning using my expired license 
negative, having problems flight booking problems on the web site keeps giving me an error and to contact by phone phone is minute wait 
negative, how do reschedule my cancelled flightled flights online the change button is greyed out 
negative, rang but there is wait for minutes can book the same ticket through vendor fix your site
negative, got flight we were told for today checked my email and its for tomorrow this is unacceptable 
negative, our flight into lga was cancelled flighted we re stuck in dallas called to reschedule told could get flight for today 
negative, why don any of the pairings include red wine only white is offered redwineisbetter
negative, is the website down 
negative, your site seems little wonked right now may want to have look tried on two browsers no css qsqmm kf 
negative, m disappointed that the agent at the designated silver status check in line closed to assist all pasengers
neutral, plans to include austin to its dallas route topnews arab emirates 
negative, is it normal to receive no reply from central baggage baggageissues smh
negative, at logan airport and waiting to checkin for my am flight checkin desk not open why 
neutral, to jump into the dallas austin market gdx
neutral, beats eps views takes on southwestair va luv investor business daily 
neutral, lister to my show my on monday 
neutral, to begin dallas austin flights in april ketr 
negative, congrats you just got all my business from ewr to sfo lax fuck you fl sfo ewr was the clincher 
negative, applied over weeks ago haven heard back and m flying this week disappointed
neutral, d love to know what your policy is for damaged luggage 
positive, thank you for the follow
negative, too many apologies you the worse airlines don even respond to your cudtomers
negative, shame on va for making people spend money in stranded cities when other airlines are landing at jfk who will reimburse me 
neutral, dm you
neutral, can you please have flights in sjc have no choice but to fly southwest to vegas 
negative, too bad you say it takes to days via your confirmation email when inquired after weeks you claim to weeks 
negative, flight from bos gt las tomorrow was cancelled flightled no notification wait times are hour will you rebook on another airline 
positive, rt you ve met your match got status on another airline upgrade restr vf 
positive, only way to fly elevate gold
neutral, if only you guys had flights from cmh 
negative, lot of apologies being thrown out to customers from what can see very sad thanks for nothing worst airline ever 
negative, for all my flight stuff wrong and did nothing about it had worst flight ever
neutral, having an issue finding missing item on plane can you help me find which airport my plane headed to next 
positive, you will match my americanairlines status cool 
neutral, you ve met your match got status on another airline upgrade rdktqy 
negative, trying to book flight with you guys and your website won let me about to lose my business
negative, you suck 
positive, thanks 
negative, just dm same issue persisting 
negative, because we never rec cancelled flightlation notice we were left no options to fly out of ps driving to la for red eye mon kids
negative, trying to book flight amp your site is down 
negative, you have any flights flying into boston tomorrow need to be home and you cancelled flightled my flight and didn do anything
negative, you stink flight cancelled flighted from psp to jfk and no notification or ability to rebook disappointed expected better
positive, love your guy song we re dancing to it for our high school dance revue
negative, your website is down and m trying to check in 
positive, done thank you for the quick response apparently faster than sitting on hold 
neutral, nervous about my flight from dc to lax getting cancelled flightled tomorrow just sent you dm to help me 
positive, cool picture of another virginamerica plane off our wing what site agfd 
positive, keep up the great work 
positive, my goodness your people field are amazing under pressure from texas beatstheothers in crisis please fly me to ny
positive, thanks for great flight from la to boston pilots did great job landing in the snow can we go back to la now seriously
neutral, can you please get me to the new york area before monday afternoon
positive, thanks so much for the awesome support you guys rock 
negative, seats in row don recline should mention that on your website soreback
negative, flight delayed hours in la due to mechanical problems handle like pros but you could have tossed us free drink 
negative, why cancelled flight flights today no precipitation to be scared of 
positive, twitter team you guys killed it for rescheduling me asap thank you 
negative, you guys charged me to reschedule flight that was then cancelled flighted and are now refusing to refund it what the deal 
negative, can access your website from safari on iphone seems to work on mac and ipad need iphone to add passbook 
neutral, on ipad and iphone clicking the checkin link in the email received at hrs before flight
negative, your mobile site is broken shows header elevateuser numofpointsavailable number points won let me checkin
negative, was really looking forward to my flight can you let me know when it will be rescheduled diehardvirgin
negative, why cancelled flight flight vx one sec its delayed on my to airport the next its cancelled flightled gonna email or call me to reschedule 
negative, did it but there was problem in the link from the email for check in thanks
negative, had to change to another airline to get to dc today why is able to land in dc but not you cost me ugh
negative, was so looking forward to my first flight with you today but it was cancelled flightled along with the subsequent one 
positive, when are you putting some great deals from pdx to las or from las to pdx show me your love buzj
positive, wish can afford to fly with you next friday going back home love everything about your airline
negative, how are you gonna have deal from dallas to dc but no deal from dc to dallas sad
neutral, it just bug report guys
negative, hold times at call center are bit much
positive, like xuq
negative, site down help
positive, you have the best flight attendant ever nq l
positive,awesome rt watch nominated films at feet meetthefleet oscars 
positive, thanks so much 
negative, trying to reset my password email never arrives help 
positive, the only airline based in silicon valley disruption fcmostinnovative incubator lbcncr 
positive, very nicely done 
positive, m looking forward to watching the oscars on my flight home tomorrow might even get something bubbly to drink 
negative, what is the reason for the delay of the departure of vx from jfk this afternoon 
negative, is todays flight from palm springs ca to jfk in ny cancelled flightled 
positive, hahaha you guys are amazing love you guys 
positive, sounds like fun 
neutral, any updates on flight from jfk gt lax
neutral, spruce moose 
negative, the css on your site is right now please fix site unusable 
negative, we re on flight vegas to boston today checked in online but our bag count didn register can fix that somehow 
positive, classiq luv virgin america greetingz
negative, hi m trying to do check in but the website is not working tried different browsers and the problem continues
positive, thanks for your great customer service today amp for helping me get all my travel sorted out 
positive, thanks guys sweet route over the rockies airplanemodewason
positive, love the music blasting at gate in boston while waiting for flight to sanfrancisco only if could get an iced coffee 
negative, the passenger in flt that assaulted me shouldn have flown trust he banned crew filed report to 
negative, current bug on website shows select departure city when selecting destination city vq
negative, luggage was severely dented missing wheel coming off baggage claim in san luggage agent miranda think wasn any help 
positive, thank you for the easy itinerary shift for impending weather quick painless amp free 
neutral, if you love to see more girls be inspired to become pilots rt our free woaw event march at abq kgdh
positive, thanks good times there and back vodkatonics the entire flight sfo
neutral, beats expectations shares take off santa cruz sentinel dqbai g
neutral, any plans to start flying direct from dal to las 
neutral, big love gratitude mpower agr kncpf werin oscars vipswagbags avalonhollywood dhn
positive, you re doing great job adding little luxuries aesthetics that improve the air travel experience thank you keep it up 
negative, requested window seat and confirmed window but got stuck in middle seat not good way to treat silver member 
neutral, grand budapest hotel oscarscountdown
neutral, this is what you missed next trip to the 
negative, wtf paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience 
negative, there is something wrong with you website in safari iphone
positive, thanks for gate checking my baggage on your full flight dfw lax and giving me early boarding too sweet
negative, already checked in so the page expired x
negative, boo for not refunding seat upgrade fee did not want to buy in the first place 
neutral, shares rise on financial results usa today pefe y
neutral, adds pillows instead of lie flat seats in first class arms race 
positive, see what you did there 
neutral, way to take advantage of mayweatherpacquiao 
neutral, you know m flying virgin for the fight mayweatherpacquiao
positive, your inflight team makes the experience amazing 
positive, cutest salt and pepper shaker ever just when think you guys can get any better you just do keulg j
negative, moved my seat with no notice better seat is cabin select not behind the row selected disappointed
neutral, shares up on results qeg nef
positive, fav airline
positive, we have hot female pilot sweet dca to sfo 
neutral, when are you guys going to start flying to paris you re welcome 
neutral, what is your policy on flying after surgery am still waiting for answer so can tell me doctor 
negative, already contacted central baggage amp sent dm is charging me for the dress that was in the lost suitcase help
positive, thank you 
negative, is there anything going on with the website ve been getting lot of errors past minutes 
neutral, think left something on the plane yesterday who do call ah 
neutral, need you to follow back in order to dm 
neutral, need to start flying to 
neutral, they told to check with the airline regulation first so that is why contacted you 
negative, have just checked in flight to sfo from lax amp been told as atlantic flying club gold get no benefits 
negative, husband and ordered three drinks via my screen and they never came awesome 
negative, soooo are you guys going to leave the seatbelt light on all flight you can barely call this turbulence 
neutral, what is your policy on flying after surgery 
neutral, posts second consecutive full year net profit zbzvhg
negative, funny story your website is broken you have missing javascript and stylesheets on the checkin process dislike this 
positive, would love to do more for virgin just like do for 
neutral, results handily exceed forecasts i
neutral, applied for position in and was wondering if you guys received my application 
neutral, achieves second year of profitability despite revenue pressure 
neutral, gives positive outlook but sees increased competition od eyj
negative, m trying to check into my am ct flight tmm on the desktop website and it not working some sort of caching bug sos
neutral, weather delays gt next few weeks jfk bos dca
neutral, check the website before you go to the airport 
negative, do you guys know your check in links from emails are broken npxb obmr
neutral, pilot says we expect choppy landing in nyc due to some gusty winds a temperature of about degrees amp the windchill 
positive, loved it can wait for monday return flight mostly just to watch the inflight safety video again sorrynotsorry
negative, lost my luggage days ago on flight vx from lax to iad amp m calling every day no response please give me back my stuff
negative, the flight booking problems section of your website seems to be broken on chrome might wanna look into that 
positive, hi just wanted to see if you have any new routes planned this year for newark love flying you guys and hope to do so more 
positive, mean probably inappropriate while on board but it on 
positive, happy to spend the day together let do this 
neutral, is saving my sanity right now 
neutral, missed my flight how does standby work 
positive, they were very understanding and helped me out thx comps
neutral, brought it all the way across the country today see 
positive, thank you absolutely will 
negative, looks like broken link for your assets 
neutral, are you ready let say it together noooo turbulence today 
negative, the manage itinerary section of your website seems to be broken for me pujvcelng
negative, can check in your site looks like this every time it loads awdbw
neutral, can help this needs urgent treatment in old battling cancer could help with flights freyasfund
neutral, may start service to hawaii from sanfrancisco this year nyprzl biztravel
negative, other carriers are less than half price for round trip fare am stunned 
negative, wtf is happening in pdx late flight march such that one way from sfo is 
neutral, add dtw and m sold 
positive, how about some free drinks on the flight back for the free promo 
positive, thanks 
neutral, momma made it 
neutral, please contact me about portfolio left on flight vx from jfk to sfo tonite seat am need it returned call 
neutral, help was on flight from jkf tonight seat left portfolio need it back 
neutral, seattle bound wifey got me the duffle for vday she a keeper holla 
negative, my luggage is gone ve filed my paperwork promised call email still no resolution or response from central luggage 
neutral, debbie baldwin gave rockstar performance of the safety demo this evening on vx las sfo bestcrew sherocks
positive, thanks 
positive, thanks for taking care of on her flight rockstars travel
positive, thanks for the lovely soft views travel san to sfo ef
negative, requested mileage challenge for status several weeks ago online but haven heard back how do get help with this 
negative, just trying to book tickets to nyc and facing super fun broken styling don worry ll keep trying 
neutral, many thanks for the follow ourprincess freyasfund usa bandie looking for any help zi kd
neutral, nice lofty view silverstatus tp dawbd
negative, applied for status match on feb got confirmation email same day still no news though you guys have dropped ball late flightly 
neutral, is my new go to airline
neutral, can you help ourprincess in need of some help in usa aztdaer
positive, adore you and am so looking forward to my flight to austin in two weeks 
positive, was so glad it was mentioned took my first virgin flight few years back and it was transformative experience 
neutral, flight booking problems flight to uphold my status match do taxes on ticket count as earned status points statusmatch virginamerica
negative, trying to check in but looks like your site is down 
negative, spending my birthday night with you dal dca get me home 
negative, sent couple messages to the email you provided but to no avail will try again next year cheers 
positive, first time flying virgin went to sanfrancisco thanks for the smooth ride easily my new fav airline 
negative, seriously though will there not be direct flights from sfo fll in may 
negative, it fine already done with my purchase but you should try it just go most of the way through then go back 
negative, not really the experience was hoping ws forced check in small carry on nothing but empty cabin space on board
negative, wjere is our luggage so slow at lax
neutral, to jump into the dallas austin market pioa 
negative, spoke with representative that offered no solution am loyal customer who flies on as well
negative, am deeply disappointed that your birthday promo was not applied to trip booked mere days before received the email
negative, what happened to direct flights from sfo fll looking in may only see connecting help dontdothistome
neutral, can you help left my blazer in kooples jacket bag at rd row second seat from right gate lax flight to sfo
neutral, partners with checkout as mobile payment method to help boost mobile conversion rates etailwest payments visa
positive, just promoting the product is all had problem with southwest and recommend noneother than the best cf
positive, love you guys but pls get some direct routes las to aus 
neutral, would like help with some flights please 
neutral,bruh turn down for what vxsafetydance 
positive, of course work for and m obsessed with the entire virgin family 
positive, ok first time flying with you tonight 
neutral, digging the swanky pink mood lighting during the flight from nyc to sfo just needs cabaret singer think about it 
neutral, done but need the receipt asap could you please help 
negative, have and embossed badges and patches superior to the ones you are currently using fq xelbon
negative, on vx from jfk to la dirty plane not up to your standards 
negative, on flight vx headed to la from jfk dirtiest va plane have ever been on sad for great airline 
positive, got it squared away someone picked up as soon as tweeted should have tweeted sooner 
negative, your avis rental continue button doesn work on your website to book car tried times on phone this sucks 
negative, delayed to 
negative, currently in minute of being on hold with cust service do need to do anything to add lap child to my reservation 
neutral, adds pillows instead of lie flat seats in first class arms race by 
positive, of course have fun celebrating thanks happy chinese new year 
positive, flight booking problems last second flight for next week from sfo to san any chance you want to gift me promo code since love you guys
negative, comenity bank is joke please change nothing but constant problems with this bank
neutral, just did how can dm do have to also add me 
positive, for my grandma ella th she would lt bday greeting from your flight crew she was stewardess for eastern airlines 
positive, just bought tix for atx dallas route thanks for adding that love yr airline amp yr website is best transactional site ever
neutral, anytime sugafly 
positive, gave credit for my late flight flight yesterday great service that a wow moment unexpected gesture 
neutral, need receipt for flight change can you send one 
negative, submitted status match request while back and still haven heard m flying on monday can you look accelerate 
positive, had me at their safety video nue loved my first cross country flight livewelltraveled sytycd
positive, that doesn look to fat to me it looks yummy 
neutral, ceo says southwest amp jetblue have strayed from low cost model sctomh 
neutral, brilliant brisk am in boston in cue for vx 
neutral, atlantic ploughs lone furrow in the middleeast pf 
neutral, atlantic ploughs lone furrow in the middleeast ee 
neutral, atlantic ploughs lone furrow in the middleeast t tlh 
positive, omg omg nonstop dallas to austin on virgin 
positive, your planes are really pretty just thought should know that 
neutral, when are you flying to hawaii
negative, m pulling my hair out trying to book flight with your site doesn work on iphone or ipad don have computer help
positive, thank you
negative, can get some help with support ticket it been days incident thank you 
positive, good to be home texas moodlighting bvzty zi
negative, cannot even open my laptop in seat and paid premium for this let me out of here 
negative, am in seat and cannot even open my laptop and paid extra for this seat 
neutral, if only you guys were starting those flights at the end of the month guess m still road tripping on feb 
positive, thanks for that been needing way to make those austin trips from dca and now you ve come through 
neutral, announced new route to austin fares from way pbamu c
neutral, really sprint thought you guys were kewl _ 
positive, this is too cool never been on ur planes but now will 
neutral, you should have dollar lax las fares 
positive, great well deserved 
negative, fyi the info com email address you say to contact in password reset emails doesn exist emails bounce 
negative, status match weeks have gone by and no news flt next week hope flt will count towards requirement cust svc no help 
negative, your website sucks donkey dicks just thought you should know all best 
neutral, you should still develop an app then you will be my favorite airline 
negative, all crap channels which is why pay to watch uk tv
positive, got it all set thanks 
neutral, no s channel this year 
neutral, only thing see on passbook is virgin mobile mexico how do integrate 
positive, giants and virgin america match made in heaven 
positive, thank goodness also see you friday nwk gt sf boom 
negative, how come you don have an iphone app still using and making me waste paper 
negative, your back of seat entertainment system does not accept credit cards that have an apostrophe in the surname apostrophefail
negative, when will vx use all lga slots instead of today adding aus makes this less likely 
neutral, is helping me step up my game tindertips tinderchamp a
positive, luv ur people and product thing is do charge for herbal tea but not black tea m not caffeine drinker
positive, thank you see all soon m excited to see the expansion of destinations spread those wings 
neutral, announces new nonstop connecting amp intro qmdfqgf
neutral, adds austin dallas love field route flh aormfkac
negative, sad to learn you no longer fly sfo gt phl hope it returns 
neutral, can you tweet me the cancelled flight chng fee for flight or can rebook under one of your affiliates if so who are afiliates 
positive, has the most incredible customer service ve ever experienced so refreshing 
neutral, now when will we see virginamerica come to philadelphia phl 
positive, am dreaming did you really just open up route between dallas and austin and does this mean houston might be next 
positive, omg finally
neutral, to start xweekly flights from to dallas austin on apr avgeek
neutral, nice to see you expanding in texas but don forget about us here in sandiego would love to see more flights out of here 
negative, kinda sucked my earphone jack didn work on my flight they may want to look into that for future passengers
negative, very poor experience first computer problem now seat malfunction stuck missing meeting in san diego 
neutral, to battle on route rlz ebk via 
positive, thankyou the dal aus route makes my day 
positive, awesome deals dal aus for only each way 
neutral, miss the nerdbird in san jose
positive, love it taking on in their backyard consumers win when biz competes 
positive, is flying from love to austin now that is most excellent news 
neutral, can we make every vx plane with nerdbird why should austin be the only one getting nerd love 
neutral, please add more frequency to pdx portland
positive, congrats vx on the new route 
negative, tried that you offered to charge me an additional for new ticket or be stranded until thurs st time last time 
neutral, can help with flights to get y old battling cancer who needs treatment in 
negative, never had bad experience before but this one took the cake now extortion for carry on items as well 
negative, had to spend hours worrying that items in carryon would be broken stolen since couldn carry them on plane or lock bag 
negative, all of group was told there was no more room in the bins when got on the plane was room for at least bags in my row 
negative, thanks for making my flight from lax to jfk nightmare by forcing me to check my carry on bag at the gate 
negative, have lots of flights to book and your site it not working ve been on the phone waiting for over minutes 
positive, am all about the in flight artisanal cheese and wine pairing 
neutral, does virgin america fly direct from seattle to nyc or boston 
positive, that classy 
positive, m sure lot of your and jfk lhr flights go lot faster than mph with strong tailwind 
positive, now it just minus minutes until my elevate silver upgrade window opens freeneversucks 
neutral, save some for tomorrow am 
negative, why is it taking years to fly home to dallas get your shit together 
neutral, club virgin is bumping in new york gdg c
positive, would have been rough trip but luckily we were on virginamerica flight weather
neutral, is that thestarter 
neutral, please come to minneapolis st paul 
neutral, yes fyi my bff
positive, another perfect flight how come on your planes the sun visors can stay down other carriers make you raise them 
positive,nice rt the man of steel might be faster but we have wifi just saying sciencebehindtheexperience 
positive, love the dancing little richard cool beans 
positive, don use passbook still love you though lt ll just use my email in the future 
positive, thanks for the free birthday points all are all right with me 
neutral, do you have an application for ios was looking and only saw virgin mexico lt 
negative, man of steel flies to more cities though and with more frequency too 
positive, thanks so much for sharing just added it to my site h
neutral, good point 
neutral, heard he has virgin mobile hotspot 
neutral, you got cheese plate flights too 
neutral, on all your flights 
positive, dad on segway is the best part of this whole infographic 
positive, are there any plans for short haul airline in europe would defiantly fly with you guys 
positive, wifi and better seating 
neutral, how come abc is the only one of the network channels you don have 
negative, started my flight with scolding for using an overhead bin that was then offered to the person seated next to me 
positive, not only was it great but you return my calls the day after couldn ask for more myvxexperience
negative, while other airlines weren cancelled flighting flights into bos and helping their customers get home virgin was saying good luck 
neutral, dear virgin customer while you re stranded in sf for days amp cost we ll do the very least we can to accommodate you 
neutral, should use this in their next airline commercial lol 
negative, grouping virgin in with the others now bos weather has exposed their actual cus serv model never flight booking problems with virgin again 
negative, as one of the travelers affected by the boston storm m shocked at virgin complete apathy toward their customers 
negative, umm so no reason as to why this is is there someone different should contact or contact me to get definitive answer 
negative, trying to make the change in advance not just hours prior tried it online earlier and it wanted in change fees 
positive, so loyal that m driving to nyc from pa to fly virgin since you cut philly flights 
neutral, any way to change from main cabin to main cabin select on same flight without paying change fee penalty 
positive, you guys are perfect as always lt wervirgin
positive, thanks all have some of the best customer service left in the industry 
neutral, can you give me silver status for months 
positive, really wish you fly out of fargo those fares are amazings
negative, mood lighting on point reclining my seat kickin up my feet 
negative, my flight scheduled for pm departure still says on time but no plane at gate any update on how long of delay 
negative, my group got their cancelled flightlation fees waived but can because my ticket is booked for your reps were no help either 
neutral, are there any sign up bonuses to enroll in elevate 
positive, just got on the pm in newark home to la your folks at ewr are incredible letsgohome
neutral, morning if have question regarding elevate points amp flights can dm you 
neutral, still waiting to see 
neutral, was wondering if you guys recieved my dm and we re able to potentially respond asap
positive, flying lax to sfo and after looking at the awesome movie lineup actually wish was on long haul 
neutral, book out of town with fares from way restr nl byackc 
positive, thanks
positive, thanks for taking care of that mr happy customer 
negative, still no refund or word via dm please resolve this issue as your cancelled flightled flight was useless to my assistant trip 
negative, delayed due to lack of crew and now delayed again because there a long line for deicing still need to improve service united
positive, thanks we filled it out how our luck with this is it common 
negative, your eri ord express connections are hugely popular now if only we could have an eri ewr hop 
neutral, even on international flight glasgow to the s then what about orlando to newark all mins 
negative, you think you boarded flight au too early think so 
neutral, understand but it tough when there is no way to get to the airport o serious risk of an accident it a steep price 
negative, gate agent hooked me up with alternate flights if you have way to prevent the constant issues that would rock 
neutral, flying gla mco in few weeks how long do we have to be at airport for before departure for both international and domestic ta
positive, thanks
positive, thanks it is on the same ticket 
neutral, why not is it law or policy 
negative, is the worst nonrefundable first class tickets oh because when you select global fc their system auto selects economy upgrade 
negative, so can buy tix days before flight but can transfer the tix flawed security logic flawed customer service
